,aave-v2_DAI_Ethereum,aave-v2_USDC_Ethereum,aave-v2_USDT_Ethereum,aave-v2_USDT_Polygon,aave-v3_DAI_Ethereum,aave-v3_DAI_Polygon,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-EUSDE-29MAY2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDC_Avalanche,aave-v3_USDC_Base,aave-v3_USDC_Ethereum,aave-v3_USDC_Polygon,aave-v3_USDE_Ethereum,aave-v3_USDS_Ethereum,aave-v3_USDTB_Ethereum,aave-v3_USDT_Avalanche,aave-v3_USDT_Ethereum,aave-v3_USDT_Polygon,ethena-usde_SUSDE_Ethereum,euler-v2_EUSDE_Ethereum,euler-v2_USDC_Ethereum,euler-v2_USDT_Avalanche,euler-v2_USDT_Ethereum,fluid-lending_SUSDE_Ethereum,fluid-lending_SUSDS_Arbitrum,fluid-lending_USDC_Arbitrum,fluid-lending_USDC_Base,fluid-lending_USDC_Ethereum,fluid-lending_USDC_Polygon,fluid-lending_USDT_Ethereum,fluid-lending_USDT_Polygon,morpho-blue_APRUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_BBQUSDT_Ethereum,morpho-blue_CSUSDC_Ethereum,morpho-blue_CUSDOUSDC_Ethereum,morpho-blue_EUSDE_Ethereum,morpho-blue_EXMUSDC_Base,morpho-blue_FUSDC_Ethereum,morpho-blue_GTDAICORE_Ethereum,morpho-blue_GTEUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_GTUSDT_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_HYPERUSDC_Ethereum,morpho-blue_HYPERUSDT_Ethereum,morpho-blue_MC-USDCP_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_MWUSDC_Base,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_RE7USDCC_Ethereum,morpho-blue_RE7USDC_Base,morpho-blue_RESOLVUSDC_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SBMORPHOUSDC_Ethereum,morpho-blue_SMUSDC_Base,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Base,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_SUSDS_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_VBSHUSDC_Ethereum
2024-06-06,11.88706,9.83337,8.59107,1.36697,7.53175,25.54788,0.0,0.0,0.0,0.0,0.0,14.28597,7.17198,11.99553,11.91186,8.36551,0.00526,0.0,0.0,9.54383,7.39565,7.19554,26.00189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,0.0,14.31714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49518,0.0,30.54667,0.0,15.17502,15.30423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.26367,0.0,15.1565,16.12974,0.0,0.0,0.0,0.0,0.0
2024-06-07,12.35729,3.516,4.43027,0.89622,7.16872,9.35356,0.0,0.0,0.0,0.0,0.0,10.45755,9.55508,6.53261,11.98452,7.16721,2.35105,0.0,0.0,7.00052,6.53898,7.19119,25.36063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1671,0.0,14.48306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53345,0.0,24.11397,0.0,8.18875,8.55078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51851,0.0,8.25579,9.01531,0.0,0.0,0.0,0.0,0.0
2024-06-08,10.61992,3.54287,5.32105,1.05979,8.04466,5.83856,0.0,0.0,0.0,0.0,0.0,9.54907,7.10253,6.61448,7.4014,8.54485,0.9942,0.0,0.0,7.00364,6.67133,6.95304,24.68142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53243,0.0,14.05493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5703,0.0,19.33373,0.0,8.83538,7.38864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03498,0.0,8.90976,7.51661,0.0,0.0,0.0,0.0,0.0
2024-06-09,7.74257,3.62976,6.1236,1.99823,10.76754,5.92286,0.0,0.0,0.0,0.0,0.0,8.29102,7.23399,6.45085,7.31854,7.27322,1.18013,0.0,0.0,7.06768,6.66965,6.78229,23.89971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78145,0.0,14.14491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60744,0.0,46.35642,0.0,10.6325,7.02883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98221,0.0,10.3381,6.75272,0.0,0.0,0.0,0.0,0.0
2024-06-10,5.81416,3.60717,8.60458,2.03411,5.78621,5.80949,0.0,0.0,0.0,0.0,0.0,7.28453,10.00146,6.65049,7.44194,7.26876,1.47043,0.0,0.0,7.56206,6.80228,7.04497,23.4354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32447,0.0,14.24906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64488,0.0,16.18035,0.0,7.79035,5.99439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79973,0.0,7.80178,6.48192,0.0,0.0,0.0,0.0,0.0
2024-06-11,5.96712,7.78951,6.51146,0.67317,5.93831,5.99603,0.0,0.0,0.0,0.0,0.0,7.88722,10.72673,11.5138,7.36741,6.72681,1.72535,0.0,0.0,6.59878,7.14781,6.86348,23.00921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.01917,0.0,13.66761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67184,0.0,22.99839,0.0,7.73278,6.01743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02591,0.0,7.72897,6.49605,0.0,0.0,0.0,0.0,0.0
2024-06-12,6.72778,7.20255,6.23581,1.2399,6.05435,5.84577,0.0,0.0,0.0,0.0,0.0,7.27775,7.09998,6.51988,7.27602,9.02971,2.09637,0.0,0.0,6.75865,7.10526,6.68326,22.62092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04877,0.0,14.22366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72056,0.0,18.39695,0.0,8.08606,6.3047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3053,0.0,8.08735,6.38328,0.0,0.0,0.0,0.0,0.0
2024-06-13,6.50629,8.89802,6.72634,1.23846,11.82071,5.42081,0.0,0.0,0.0,0.0,0.0,7.23027,7.15823,6.87627,11.77067,7.10549,2.14865,0.0,0.0,6.63374,6.92413,6.42754,17.16282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59313,0.0,13.80179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75889,0.0,18.94758,0.0,10.18637,15.38087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57652,0.0,10.1883,15.88241,0.0,0.0,0.0,0.0,0.0
2024-06-14,7.47626,3.59695,5.47645,0.87836,6.94799,5.47824,0.0,0.0,0.0,0.0,0.0,7.20414,7.22662,6.75777,7.36127,7.16329,2.493,0.0,0.0,6.43877,6.96671,6.47998,16.99833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37139,0.0,13.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79751,0.0,18.55313,0.0,8.16342,15.19765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0467,0.0,8.15842,15.95935,0.0,0.0,0.0,0.0,0.0
2024-06-15,6.81716,6.26456,5.62202,0.90576,6.13122,5.52932,0.0,0.0,0.0,0.0,0.0,7.00017,7.1349,5.93529,7.24692,7.21909,3.36694,0.0,0.0,6.42666,6.87093,6.43329,16.96518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05626,0.0,13.05818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.17279,0.0,16.15704,0.0,8.06482,12.48816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95656,0.0,8.06381,12.54047,0.0,0.0,0.0,0.0,0.0
